Date,Open,High,Low,Close,Volume,tech_per_change,ML_RF,ML_LSTM,FE_window_7d,FE_window_14d,FE_window_30d,FE_window_60d,FE_window_90d,FE_window_360d
2013-06-24,1.76,1.78,1.55,1.56,,,,0.5260391235351562,,,,,,
2013-06-25,1.49,1.59,1.48,1.525,,,,0.6633287072181702,,,,,,
2013-06-26,1.535,1.58,1.53,1.56,,,,0.8255575299263,,,,,,
2013-06-27,1.55,1.69,1.55,1.66,,,,1.0102760791778564,,,,,,
2013-06-28,1.68,1.72,1.68,1.7,,,,1.2124282121658323,,,,,,
2013-07-01,1.675,1.69,1.65,1.65,,,,1.4125510454177856,,,,,,
2013-07-02,1.65,1.65,1.595,1.63,,1.7399999999999998,,1.5572866201400757,1.612142857142857,,,,,
2013-07-03,1.6,1.645,1.6,1.64,,1.735,,1.6639741659164429,1.6235714285714287,,,,,
2013-07-04,1.64,1.665,1.62,1.625,,1.7199999999999998,,1.7371690273284912,1.637857142857143,,,,,
2013-07-05,1.63,1.635,1.607,1.61,,1.59,,1.764739751815796,1.6449999999999998,,,,,
2013-07-08,1.6,1.61,1.585,1.59,,1.5200000000000002,,1.7532076835632324,1.6349999999999998,,,,,
2013-07-09,1.6,1.6,1.57,1.59,,1.5300000000000002,,1.7212632894515991,1.6192857142857142,,,,,
2013-07-10,1.595,1.62,1.57,1.6,,1.5500000000000005,,1.66639506816864,1.6121428571428569,,,,,
2013-07-11,1.6,1.65,1.6,1.62,,1.5600000000000005,,1.6178103685379028,1.6107142857142855,1.6114285714285717,,,,
2013-07-12,1.63,1.635,1.6,1.62,,1.6150000000000002,,1.6310433149337769,1.6078571428571427,1.615714285714286,,,,
2013-07-15,1.6,1.635,1.6,1.635,,1.63,,1.628756403923035,1.6092857142857142,1.623571428571429,,,,
2013-07-16,1.6,1.62,1.6,1.62,,1.68,,1.6109402179718018,1.6107142857142855,1.6278571428571436,,,,
2013-07-17,1.61,1.63,1.58,1.63,,1.65,,1.5949459075927734,1.616428571428571,1.6257142857142863,,,,
2013-07-18,1.62,1.635,1.585,1.6,,1.6599999999999997,,1.5719043016433716,1.6178571428571424,1.6185714285714294,,,,
